Name,Gameweek,Opposition,Pts,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Net Transfers,Selected by,Cost
Willian,6,LEI (H) 0 - 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-175335,500111,£7.9
Barkley,6,LEE (H) 0 - 3,2,90,0,0,0,3,0,0,0,0,0,0,0,13,20.2,46.7,16.0,8.3,198243,303908,£6.0
Harrison,6,AVL (A) 0 - 3,3,90,0,0,1,0,0,0,0,0,0,0,0,14,19.0,54.8,35.0,10.9,-11623,138776,£5.5
Saint-Maximin,6,WOL (A) 1 - 1,3,78,0,0,1,0,0,0,0,0,0,0,0,10,17.6,13.1,9.0,4.0,-6393,519419,£5.3
Aubameyang,6,LEI (H) 0 - 1,2,90,0,0,0,1,0,0,0,0,0,0,0,12,6.6,16.0,12.0,3.5,-235512,1193283,£11.8
Kouyate,6,FUL (A) 1 - 2,2,90,0,0,0,1,0,0,0,0,0,0,0,16,20.4,0.3,0.0,2.1,52,52322,£5.0
Praet,6,ARS (A) 0 - 1,1,59,0,0,0,0,0,0,0,0,0,0,0,5,4.4,4.3,0.0,0.9,-4759,33675,£5.5
Oriol Romeu,1,CRY (A) 1 - 0,2,90,0,0,0,1,0,0,0,0,0,0,0,13,18.6,4.2,0.0,2.3,0,269424,£4.5
Oriol Romeu,2,TOT (H) 2 - 5,0,54,0,0,0,2,0,0,0,1,0,0,0,1,2.4,11.2,0.0,1.4,-7479,280163,£4.5
Oriol Romeu,3,BUR (A) 0 - 1,3,90,0,0,1,0,0,0,0,0,0,0,0,9,20.6,2.8,0.0,2.3,-31587,250869,£4.5
Oriol Romeu,4,WBA (H) 2 - 0,11,90,1,0,1,0,0,0,0,0,0,0,3,30,54.6,12.8,25.0,9.2,-12121,242269,£4.5
Oriol Romeu,5,CHE (A) 3 - 3,1,86,0,0,0,3,0,0,0,1,0,0,0,7,9.4,5.2,3.0,1.8,27999,281024,£4.5
Oriol Romeu,6,EVE (H) 2 - 0,3,90,0,0,1,0,0,0,0,0,0,0,0,15,22.6,14.8,14.0,5.1,33332,318842,£4.5
Podence,1,SHU (A) 0 - 2,6,75,0,1,1,0,0,0,0,0,0,0,0,23,25.8,18.3,0.0,4.4,0,17314,£5.5
Podence,2,MCI (H) 1 - 3,5,90,0,1,0,3,0,0,0,0,0,0,0,17,24.4,29.6,7.0,6.1,22114,47771,£5.5
Podence,3,WHU (A) 4 - 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,351024,424856,£5.6
